순번,개봉연도,영화명,감독,배급사,개봉일,국적,전국스크린수,전국매출액,전국관객수,장르,등급,영화구분
189,2011,무협,진가신,(주)넥스트엔터테인먼트월드(NEW),2011-11-17,홍콩,137,206464500,28698,액션,15세이상관람가,일반영화
190,2011,리멤버 미,앨런 콜터,㈜케이디미디어,2011-03-03,미국,139,200247000,26629,멜로/로맨스,15세이상관람가,일반영화
191,2011,원라이프,"마이클 건톤,마샤 홈즈",(주)씨제이이엔엠,2011-08-17,영국,158,163408600,24348,다큐멘터리,전체관람가,일반영화
192,2011,워리어,게빈 오코너,(주)화앤담이엔티,2011-11-02,미국,142,150308500,20702,드라마,15세이상관람가,일반영화
193,2011,상실의 시대,트란 안 홍,예지림엔터테인먼트,2011-04-21,일본,53,144737800,18872,드라마,청소년관람불가,독립/예술영화
194,2011,드라이브,니콜라스 윈딩 레픈,"주식회사 풍경소리,판씨네마(주)",2011-11-17,미국,76,143009500,18471,액션,청소년관람불가,독립/예술영화
195,2011,초(민망한)능력자들,그랜트 헤스로브,팝엔터테인먼트,2011-07-07,미국,64,135409000,18023,코미디,12세이상관람가,독립/예술영화
196,2011,토마스와 친구들 - 극장판 3,그렉 티어넌,에이원엔터테인먼트,2011-05-05,영국,110,130641500,18845,애니메이션,전체관람가,일반영화
197,2011,스톤,존 커랜,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),2011-10-06,미국,77,116295000,15241,드라마,청소년관람불가,일반영화
198,2011,바보야,강성옥,주식회사 마운틴픽쳐스,2011-04-21,한국,57,91693000,17097,다큐멘터리,전체관람가,독립/예술영화
199,2011,플레이,남다정,(주)영화사 진진,2011-06-23,한국,33,90702000,12522,드라마,전체관람가,독립/예술영화
200,2011,최종병기 활 감독확장판,김한민,롯데쇼핑㈜롯데엔터테인먼트,2011-10-20,한국,52,86374000,11547,사극,청소년관람불가,일반영화
201,2011,서유기 리턴즈,신동엽,(주)영화사 조제,2011-02-17,한국,59,80194000,12696,코미디,전체관람가,일반영화
202,2011,극장판 메이저 : 우정의 강속구,카토 타카오,에이원엔터테인먼트,2011-10-20,일본,105,70124000,11162,애니메이션,전체관람가,일반영화
203,2011,최후의 툰드라-극장판,"장경수,김종일,이승재",(주)에스비에스콘텐츠허브,2011-02-17,한국,39,67143500,10169,다큐멘터리,전체관람가,독립/예술영화
204,2011,재스퍼,"에카르트 핑베르크,카이 델벤탈",(주)시너지하우스 (시너지),2011-08-17,독일,86,65333500,9753,애니메이션,전체관람가,일반영화
205,2011,량강도 아이들,"김성훈,정성산",(주)영화사샘,2011-11-17,한국,34,63420000,9512,코미디,전체관람가,독립/예술영화
206,2011,사운드 오브 노이즈,"올라 시몬손,요하네스 슈테르네 닐슨",㈜씨에이엔,2011-09-29,스웨덴,35,62493000,8461,코미디,12세이상관람가,독립/예술영화
207,2011,타이머,잭 쉐퍼,프리비젼엔터테인먼트,2011-03-10,미국,40,59880000,7882,코미디,15세이상관람가,독립/예술영화
208,2011,홍길동 2084,이정인,타임스토리그룹(주),2011-08-18,한국,36,31703500,4434,애니메이션,전체관람가,독립/예술영화
209,2011,마셰티,"로버트 로드리게즈,에단 마니퀴스",(주)화앤담이엔티,2011-04-21,미국,35,27981000,3702,액션,청소년관람불가,일반영화
210,2011,아프리카의 눈물,"장형원,한학수",주식회사 마운틴픽쳐스,2011-03-24,한국,36,27500000,3824,다큐멘터리,12세이상관람가,독립/예술영화
211,2011,퍼블릭 에너미 넘버원,장-프랑소와 리셰,예지림엔터테인먼트,2011-08-25,프랑스,35,26932000,3410,액션,청소년관람불가,일반영화
212,2011,닷핵퀀텀 : 숨겨진 몬스터의 비밀,타치바나 마사키,팝엔터테인먼트,2011-08-18,일본,35,6960000,1067,애니메이션,전체관람가,일반영화
213,2012,도둑들,최동훈,(주)쇼박스,2012-07-25,한국,1072,93664808500,12983178,액션,15세이상관람가,일반영화
214,2012,"광해, 왕이 된 남자",추창민,(주)씨제이이엔엠,2012-09-13,한국,810,88899448769,12319390,사극,15세이상관람가,일반영화
215,2012,어벤져스,조스 웨던,"월트디즈니컴퍼니코리아 유한책임회사,한국소니픽쳐스릴리징브에나비스타영화㈜",2012-04-26,미국,967,59557853478,7074867,액션,12세이상관람가,일반영화
216,2012,다크 나이트 라이즈,크리스토퍼 놀란,워너브러더스 코리아(주),2012-07-19,미국,1210,47644838000,6396528,액션,15세이상관람가,일반영화
217,2012,늑대소년,조성희,(주)씨제이이엔엠,2012-10-31,한국,706,46590107000,6654390,멜로/로맨스,15세이상관람가,일반영화
218,2012,어메이징 스파이더맨,마크 웹,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-06-28,미국,1118,41163951235,4853123,액션,12세이상관람가,일반영화
219,2012,범죄와의 전쟁: 나쁜놈들 전성시대,윤종빈,(주)쇼박스,2012-02-02,한국,699,36479147500,4710454,범죄,청소년관람불가,일반영화
220,2012,바람과 함께 사라지다,김주호,(주)넥스트엔터테인먼트월드(NEW),2012-08-08,한국,694,34524377161,4897551,코미디,12세이상관람가,일반영화
221,2012,내 아내의 모든 것,민규동,(주)넥스트엔터테인먼트월드(NEW),2012-05-17,한국,563,34222160500,4598583,코미디,15세이상관람가,일반영화
222,2012,연가시,박정우,(주)씨제이이엔엠,2012-07-05,한국,759,32154766664,4513026,공포(호러),15세이상관람가,일반영화
223,2012,건축학개론,이용주,롯데쇼핑㈜롯데엔터테인먼트,2012-03-22,한국,593,30219800500,4110645,멜로/로맨스,12세이상관람가,일반영화
224,2012,댄싱퀸,이석훈,(주)씨제이이엔엠,2012-01-18,한국,534,30129259500,4057546,코미디,12세이상관람가,일반영화
225,2012,맨 인 블랙 3,배리 소넨필드,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-05-24,미국,770,27301520070,3379762,액션,12세이상관람가,일반영화
226,2012,부러진 화살,정지영,(주)넥스트엔터테인먼트월드(NEW),2012-01-18,한국,453,25878110500,3450941,드라마,15세이상관람가,일반영화
227,2012,레미제라블,톰 후퍼,유니버설픽쳐스인터내셔널 코리아(유),2012-12-19,미국,696,23428605500,3210107,드라마,12세이상관람가,일반영화
228,2012,호빗: 뜻밖의 여정,피터 잭슨,워너브러더스 코리아(주),2012-12-13,미국,1028,21724069066,2605124,어드벤처,12세이상관람가,일반영화
229,2012,26년,조근현,"(주)인벤트스톤,영화사청어람(주)",2012-11-29,한국,604,21111878145,2940475,액션,15세이상관람가,일반영화
230,2012,내가 살인범이다,정병길,(주)쇼박스,2012-11-08,한국,547,20338868000,2721893,액션,청소년관람불가,일반영화
231,2012,후궁 : 제왕의 첩,김대승,롯데쇼핑㈜롯데엔터테인먼트,2012-06-06,한국,624,19250354500,2621436,사극,청소년관람불가,일반영화
232,2012,브레이킹 던 part2,빌 콘돈,(주)넥스트엔터테인먼트월드(NEW),2012-11-15,미국,665,18909583065,2654817,드라마,15세이상관람가,일반영화
233,2012,화차,변영주,필라멘트픽쳐스,2012-03-08,한국,548,18450760000,2435211,미스터리,15세이상관람가,일반영화
234,2012,이웃사람,김휘,롯데쇼핑㈜롯데엔터테인먼트,2012-08-22,한국,600,18087442369,2434099,스릴러,청소년관람불가,일반영화
235,2012,장화신은 고양이,크리스 밀러,(주)씨제이이엔엠,2012-01-12,미국,593,17601188500,2080154,애니메이션,전체관람가,일반영화
236,2012,테이큰 2,올리비에 메가턴,이십세기폭스코리아(주),2012-09-27,프랑스,682,17581098553,2308596,액션,청소년관람불가,일반영화
237,2012,007 스카이폴,샘 멘데스,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2012-10-26,미국,748,17487213000,2376145,액션,15세이상관람가,일반영화
238,2012,배틀쉽,피터 버그,유니버설픽쳐스인터내셔널 코리아(유),2012-04-11,미국,736,16545921500,2241687,SF,12세이상관람가,일반영화
239,2012,타워,김지훈,(주)씨제이이엔엠,2012-12-25,한국,617,14658256500,2014589,드라마,12세이상관람가,일반영화
240,2012,나의 PS 파트너,변성현,(주)씨제이이엔엠,2012-12-06,한국,552,13496952616,1778222,멜로/로맨스,청소년관람불가,일반영화
241,2012,코리아,문현성,(주)씨제이이엔엠,2012-05-03,한국,537,13334762500,1857392,드라마,12세이상관람가,일반영화
242,2012,러브픽션,전계수,(주)넥스트엔터테인먼트월드(NEW),2012-02-29,한국,617,13200412500,1726202,멜로/로맨스,15세이상관람가,일반영화
243,2012,언터처블: 1%의 우정,"올리비에르 나카체,에릭 토레다노",(주)넥스트엔터테인먼트월드(NEW),2012-03-22,프랑스,454,12731016000,1719772,코미디,12세이상관람가,일반영화
