댓글
단연 멋지고 감동적 이였습니다.이정재 이범수 정말 멋있었고박철민 씨 마지막 장면에 살짝 눈물이 글썽..!!조연이지만 정말 연기는 주연과 같았습니다.오늘부로 박철민씨 팬 해야긋네요 ㅎㅎ
지루한줄 모르고 재미있게 봤습니다 다만 맥아더장군분량이 너무적네요...
넘나 좋음!! 생각한 딱 그정도긴 했지만
넘 감동적이었어요 목숨 걸고 나라를 위해 싸우며  인천상륙작전으로 우리가 이렇게 편안하게 살수 있다는게 감사였고 감동이었습니다이런 영화가 많이 만들어져 우리와 자라나는 다음세대 자녀들에게도 나라 사랑하는 마음이 더욱...
넘 감동했어요~ 가슴도 뭉클하고  많은 희생자들께 감사드립니다
재밋어요 꼭보세요ㅎㅎ
볼만함.강추강추강추강추강추
안보면 최소 빨갱이 진심 평론가들 무뇌충인듯 평점 100점만점에 100을줘도 모자람
철민이형 멋있더라. 스토리상 조금 매끄럽지 않은 부분도 있었지만 이념을 떠나서 볼만한 영화. 평론가들 평점은 이해불가.
초반에 살짝 지루했지만 뒤로 갈수록 재밌게봄
절대 3점짜리 영화는 아니다
조조로 보고 나왔다.. 도서관 가는 길.. 그 분들이 있었기에 아무 걱정없이 공부하러 갈 수 있다는 사실에 감사함을 느끼며 난 오늘도 한국사를 공부하러 간다 기승전공시충
애들이랑 같이 조조보고왔어요..잼나게 보고가요~~
진짜 감명깊게 봤습니다.
끝나고 엔딩크레딧 올라갈때박수치고싶었어요 재밌다고 표현하는 것보다 매우 감명깊게 봤습니다
몇군데 장면에서 눈물 흘릴뻔했네요 아니 알바가 아니라 진짜 친구랑 보고나오면서 여운이 가시지 않은 영화였는데 저만 그렇게 생각할줄은 몰랐네요.... 사람마다 다른듯
한순간도 눈을때지못햇습니다 몰랏던우리나라의 숨겨진영웅들을 알게되어서 참좋앗습니다
정말 감동적이고 우리가 있게해주신 조상님들께 감사하단 생각밖에 안들었습니다 다시한번 감사드립니다
참전 영웅분들 정말 감사합니다ㅠㅠㅠ
박진감 넘치게 봤습니다
시간엄청빨리가고진짜재밌는데 댓글에 낚여 안볼뻔
평점이 낮은 이유를 모르겠네요 :)배우들 연기도 괜찮고 내용도 굿뜨 영화전개도 빨라서 지루함 전혀 느끼지 못할정도로 꽤 재밌게 봤네요~몰입도도 좋고.. 왜 평점이 낮을까 도통이해안됌ㅜㅜ 숨은영웅을 되새기며 부모님모시...
굉장하다까진 아니어도 볼만했다 정도는 됬다고 본다돈은 안아까웠다
평점 십점만점을 줘도 안아까운영화 처음으로 영화관에서  사람들박수침~~ 희대의 역작으로남길...
정말감동입니다...
너무너무나재밋는것~
엄청재미있게봤어요강추
2016년 최고의 영화
마지막에 너무 뭉클했습니다 ㅠ 감사한 마음을 갖게 됨
평점 쓰레기로 준사람 진짜 다 빨갱이에요 꼭봐요
감동깊었습니다. 역사의 뒤안길에 묻힐뻔한 그러나 절대 묻혀서는 안될 그분들께 깊은 감사드립니다. 그런분들이 계셨기에 지금의 평화가 지켜집니다. 또한 리암니슨님의 진심어린 연기 감동이었습니다^^
역사의중요성! 정말재밌어요
대한민국을 위해 목숨바쳐 희생하신 투사분들께 진정 감사하며 전쟁 없는 나라에서 사는 내가 행복하다 느꼈다. 가슴이 먹먹해 지는 영화. 평점이 왜 있어야 하는가 이해가 안된다. 판단할수 있는 영화가 아니다.
시간가는줄 모르고봣네여 겁나재밋음
후반부에 눈물주의보고나서 여운남음
부모님 세대 이야기로 듣다 다시끔 생각하게 합니다잠깐 싸우는신에 추성훈인가 끝나고 검색하니맞더라구요!^^
오랫만에 제대로 된 영화를 본거 같네요
