순번,개봉연도,영화명,감독,제작사,수입사,배급사,개봉일,국적,전국스크린수,전국매출액,전국관객수,장르,등급,영화구분
372,2017,커피 메이트,이현하,(주)써니엔터테인먼트,,(주)스톰픽쳐스코리아,2017-03-01,한국,99,43287000,5361,멜로/로맨스,청소년관람불가,독립/예술영화
373,2017,빛나는,가와세 나오미,,그린나래미디어(주),그린나래미디어(주),2017-11-23,일본,53,40173200,5314,멜로/로맨스,12세이상관람가,독립/예술영화
374,2017,두 개의 사랑,프랑수아 오종,,찬란,(주)팝엔터테인먼트,2017-12-28,프랑스,49,42671300,5204,스릴러,청소년관람불가,독립/예술영화
375,2017,빌로우 허,에이프릴 뮬렌,,(주)엔케이컨텐츠,(주)디스테이션,2017-09-21,캐나다,65,41539900,5056,드라마,청소년관람불가,독립/예술영화
377,2017,파란나비효과,박문칠,헤이앤컴퍼니,,(주)인디플러그,2017-06-22,한국,41,34617100,4980,다큐멘터리,12세이상관람가,독립/예술영화
378,2017,우리를 침범하는 것들,아담 스미스,,그린나래미디어(주),그린나래미디어(주),2017-07-20,영국,56,36978100,4958,액션,15세이상관람가,독립/예술영화
381,2017,쇠파리,안철호,"사단법인 한국영화인총연합회 대구경북지회,(주)무비포지",,(주)영화사 그램,2017-05-25,한국,56,36279100,4836,범죄,15세이상관람가,독립/예술영화
382,2017,재꽃,박석영,딥 포커스,,딥 포커스,2017-07-06,한국,35,35089000,4762,드라마,12세이상관람가,독립/예술영화
383,2017,스톡홀름의 마지막 연인,퍼닐라 어거스트,,(주)엣나인필름,(주)엣나인필름,2017-12-21,스웨덴,47,36525400,4747,멜로/로맨스,15세이상관람가,독립/예술영화
385,2017,금빛 모자이크 프리티 데이즈,다나카 모토키,,(주)퍼스트런,(주)퍼스트런,2017-02-16,일본,80,34265500,4709,애니메이션,전체관람가,일반영화
386,2017,성 프란치스코,르노 페리,,찬란,찬란,2017-10-12,프랑스,43,31590200,4638,드라마,전체관람가,독립/예술영화
388,2017,블랙 쉐도우,"오빈 올슨,아마리아 올슨",,(주)스톰픽쳐스코리아,(주)스톰픽쳐스코리아,2017-07-13,미국,144,33762500,4502,액션,15세이상관람가,일반영화
389,2017,미스 유 올레디,캐서린 하드윅,,(주)영화사오원,(주)디스테이션,2017-10-03,영국,73,33207200,4499,드라마,15세이상관람가,독립/예술영화
390,2017,로마서 8:37,신연식,(주) 루스이소니도스,,(주) 루스이소니도스,2017-11-16,한국,44,33351000,4442,드라마,15세이상관람가,독립/예술영화
392,2017,더 바,알렉스 드 라 이글레시아,,(주)에이앤비픽쳐스,(주)영화사 그램,2017-06-15,스페인,84,32328100,4287,스릴러,15세이상관람가,독립/예술영화
393,2017,고스트 스토리,데이빗 로워리,,주식회사 더쿱,"(주)리틀빅픽쳐스,주식회사 더쿱",2017-12-28,미국,57,37338700,4276,판타지,12세이상관람가,독립/예술영화
394,2017,미인어,주성치,,(주)컴퍼니엘,(주)라이크콘텐츠,2017-02-22,중국,69,31631200,4270,판타지,12세이상관람가,독립/예술영화
395,2017,왕을 참하라,김재수,(주)영화사 조은,,(주)박수엔터테인먼트,2017-03-16,한국,54,32469800,4237,드라마,청소년관람불가,일반영화
396,2017,수부라 게이트,스테파노 솔리마,,(주)히스토리필름,(주)팝엔터테인먼트,2017-09-07,이탈리아,104,29989100,4173,범죄,청소년관람불가,독립/예술영화
397,2017,"구름의 저편, 약속의 장소",신카이 마코토,,(주)에이원엔터테인먼트,(주)삼지애니메이션,2017-02-28,일본,123,29747400,4105,애니메이션,12세이상관람가,독립/예술영화
399,2017,부에나 비스타 소셜 클럽 2: 아디오스,루시 워커,,(주)퍼스트런,글뫼 주식회사,2017-10-26,미국,75,31313000,4069,다큐멘터리,12세이상관람가,독립/예술영화
402,2017,이터너티,트란 안 홍,,(주)컴퍼니엘,(주)라이크콘텐츠,2017-05-18,프랑스,45,29456200,3992,멜로/로맨스,12세이상관람가,독립/예술영화
404,2017,뮤지컬 쉬 러브즈 미,토드 하이메스,,C 무비,C 무비,2017-07-06,미국,45,27428100,3709,공연,전체관람가,일반영화
406,2017,러브 앤 아트,프레드 쉐피시,,(주)시네마리퍼블릭,(주)영화사오원,2017-11-09,미국,36,27906300,3640,멜로/로맨스,15세이상관람가,독립/예술영화
407,2017,나의 서른에게,팽수혜,,(주)박수엔터테인먼트,(주)박수엔터테인먼트,2017-11-23,홍콩,67,25889900,3567,드라마,15세이상관람가,독립/예술영화
