순번,순서,영화이름,관람객평점,댓글
38,85,인천상륙작전,5.0,평점이 낮은 이유를 모르겠네요 :)배우들 연기도 괜찮고 내용도 굿뜨 영화전개도 빨라서 지루함 전혀 느끼지 못할정도로 꽤 재밌게 봤네요~몰입도도 좋고.. 왜 평점이 낮을까 도통이해안됌ㅜㅜ 숨은영웅을 되새기며 부모님모시...
38,86,인천상륙작전,4.0,굉장하다까진 아니어도 볼만했다 정도는 됬다고 본다돈은 안아까웠다
38,87,인천상륙작전,5.0,평점 십점만점을 줘도 안아까운영화 처음으로 영화관에서  사람들박수침~~ 희대의 역작으로남길...
38,88,인천상륙작전,5.0,정말감동입니다...
38,89,인천상륙작전,5.0,너무너무나재밋는것~
38,90,인천상륙작전,4.5,엄청재미있게봤어요강추
38,91,인천상륙작전,5.0,2016년 최고의 영화
38,92,인천상륙작전,5.0,마지막에 너무 뭉클했습니다 ㅠ 감사한 마음을 갖게 됨
38,93,인천상륙작전,5.0,평점 쓰레기로 준사람 진짜 다 빨갱이에요 꼭봐요
38,94,인천상륙작전,4.5,감동깊었습니다. 역사의 뒤안길에 묻힐뻔한 그러나 절대 묻혀서는 안될 그분들께 깊은 감사드립니다. 그런분들이 계셨기에 지금의 평화가 지켜집니다. 또한 리암니슨님의 진심어린 연기 감동이었습니다^^
38,95,인천상륙작전,5.0,역사의중요성! 정말재밌어요
38,96,인천상륙작전,5.0,대한민국을 위해 목숨바쳐 희생하신 투사분들께 진정 감사하며 전쟁 없는 나라에서 사는 내가 행복하다 느꼈다. 가슴이 먹먹해 지는 영화. 평점이 왜 있어야 하는가 이해가 안된다. 판단할수 있는 영화가 아니다.
38,97,인천상륙작전,5.0,시간가는줄 모르고봣네여 겁나재밋음
38,98,인천상륙작전,4.5,후반부에 눈물주의보고나서 여운남음
38,99,인천상륙작전,4.5,부모님 세대 이야기로 듣다 다시끔 생각하게 합니다잠깐 싸우는신에 추성훈인가 끝나고 검색하니맞더라구요!^^
38,100,인천상륙작전,5.0,오랫만에 제대로 된 영화를 본거 같네요
51,1,형,5.0,솔직히 근래본 영화중에 케미는 젤 좋았음ㅋㅋㅋㅋ갠적으로 럭키보다 잼나게 봤어요
51,2,형,5.0,도경수 눈 안 보이는 연기 너무 잘했어요 눈물 펑펑 쏟았어요ㅜㅜ
