,순번,개봉연도,영화명,감독,배급사,개봉일,국적,전국스크린수,전국매출액,전국관객수,장르,등급,영화구분
176,177,2014,우리별 일호와 얼룩소,장형윤,(주)인디플러그,2014-02-20,한국,209,288773500,43674,애니메이션,전체관람가,독립/예술영화
177,178,2014,그날 본 꽃의 이름을 우리는 아직 모른다,나가이 타츠유키,(주)박수엔터테인먼트,2014-02-20,일본,49,281962500,39349,애니메이션,12세이상관람가,독립/예술영화
178,179,2014,백프로,김명균,(주)마인스 엔터테인먼트,2014-04-03,한국,236,275138600,36792,코미디,15세이상관람가,일반영화
179,180,2014,마미,자비에 돌란,(주)엣나인필름,2014-12-18,캐나다,84,271299800,34739,드라마,15세이상관람가,독립/예술영화
180,181,2014,파가니니: 악마의 바이올리니스트,버나드 로즈,씨너스엔터테인먼트(주),2014-04-23,독일,100,270820700,36808,드라마,15세이상관람가,독립/예술영화
181,182,2014,무드 인디고,미셸 공드리,(주)프레인글로벌,2014-12-11,프랑스,55,260541200,32728,드라마,15세이상관람가,독립/예술영화
182,183,2014,킬 유어 달링,존 크로키다스,(주)영화사 진진,2014-10-16,미국,93,255344020,32668,드라마,청소년관람불가,독립/예술영화
183,184,2014,오직 사랑하는 이들만이 살아남는다,짐 자무시,찬란,2014-01-09,영국,38,253422443,33579,드라마,15세이상관람가,독립/예술영화
184,185,2014,위크엔드 인 파리,로저 미첼,판씨네마(주),2014-05-01,영국,31,252649200,32070,드라마,15세이상관람가,독립/예술영화
185,186,2014,만신,박찬경,(주)엣나인필름,2014-03-06,한국,88,251863300,33481,다큐멘터리,15세이상관람가,독립/예술영화
186,187,2014,필로미나의 기적,스티븐 프리어스,씨네그루(주)다우기술,2014-04-16,영국,194,249884600,34501,드라마,12세이상관람가,독립/예술영화
187,188,2014,초콜렛 도넛,트래비스 파인,CGV아트하우스,2014-10-02,미국,53,246408200,31101,드라마,15세이상관람가,독립/예술영화
188,189,2014,슈퍼노바 지구 탈출기,캘런 브런커,(주)영화사 빅,2014-02-13,미국,230,245845000,37547,애니메이션,전체관람가,일반영화
189,190,2014,몬스터 왕국,에스벤 토프트 야콥슨,씨너스엔터테인먼트(주),2014-05-01,스웨덴,160,237248600,34888,애니메이션,전체관람가,일반영화
190,191,2014,동경가족,야마다 요지,오드,2014-07-31,일본,45,237144500,31564,가족,전체관람가,독립/예술영화
191,192,2014,앵그리스트 맨,필 알덴 로빈슨,브릿지웍스 엔터테인먼트(주),2014-10-30,미국,181,229523200,30656,드라마,15세이상관람가,독립/예술영화
192,193,2014,지골로 인 뉴욕,존 터투로,(주)나이너스엔터테인먼트,2014-09-25,미국,234,226048755,30140,멜로/로맨스,청소년관람불가,독립/예술영화
193,194,2014,마인드스케이프,호르헤 도라도,오퍼스픽쳐스(유),2014-10-23,스페인,199,220476900,30257,스릴러,15세이상관람가,일반영화
194,195,2014,마이 블랭키,프란시스 닐슨,(주)마인스 엔터테인먼트,2014-06-04,스페인,111,219661100,31798,애니메이션,전체관람가,독립/예술영화
195,196,2014,꼬마 니콜라의 여름방학,로랑 티라르,(주)나이너스엔터테인먼트,2014-08-21,프랑스,133,218859600,31368,코미디,전체관람가,독립/예술영화
196,197,2014,목숨,이창재,필라멘트픽쳐스,2014-12-04,한국,97,217156100,28416,다큐멘터리,12세이상관람가,독립/예술영화
197,198,2014,배틀 오브 비보이,벤슨 리,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-01-09,미국,80,214900500,33360,드라마,12세이상관람가,일반영화
198,199,2014,어떤 만남,리사 아주엘로스,(주)티캐스트콘텐츠허브,2014-07-31,프랑스,39,211674300,27302,멜로/로맨스,청소년관람불가,독립/예술영화
199,200,2014,행복배달부 팻아저씨,마이크 디사,(주)영화사 빅,2014-10-09,영국,162,210268100,29906,애니메이션,전체관람가,독립/예술영화
200,201,2014,벨과 세바스찬,니콜라 바니에,"그린나래미디어(주),주식회사 노버스엔터테인먼트",2014-03-20,프랑스,202,210117000,29308,어드벤처,전체관람가,독립/예술영화
201,202,2014,굿모닝 맨하탄,가우리 신드,(주)인벤트스톤,2014-02-06,인도,99,205346000,28548,코미디,전체관람가,독립/예술영화
202,203,2014,꼬마 잠수함 올리 2,밥 두셋,예지림엔터테인먼트,2014-12-04,미국,186,203040700,32374,애니메이션,전체관람가,일반영화
203,204,2014,꼬마잠수함 올리,헤 질리,예지림엔터테인먼트,2014-10-16,중국,232,196511300,29114,애니메이션,전체관람가,독립/예술영화
204,205,2014,님포매니악 볼륨2,라스 폰 트리에,CGV아트하우스,2014-07-03,덴마크,53,195684333,23641,드라마,청소년관람불가,독립/예술영화
205,206,2014,선샤인 온 리스,덱스터 플레처,(주)팝엔터테인먼트,2014-09-03,영국,142,195675600,25431,뮤지컬,12세이상관람가,독립/예술영화
206,207,2014,왓 이프,마이클 도즈,(주)나이너스엔터테인먼트,2014-11-13,아일랜드,145,192741700,25908,코미디,15세이상관람가,독립/예술영화
207,208,2014,GROW: 인피니트의 리얼 청춘 라이프,김진수,골든타이드픽처스(주),2014-12-04,한국,71,189409200,23865,드라마,전체관람가,일반영화
208,209,2014,고스트 메신저 극장판,구봉회,에이원엔터테인먼트,2014-05-22,한국,81,184033000,23721,애니메이션,12세이상관람가,일반영화
209,210,2014,타임 투 러브,저스틴 리어든,(주)인벤트스톤,2014-10-23,미국,201,179611300,23597,코미디,청소년관람불가,일반영화
210,211,2014,쥬로링 동물탐정 극장판,"이종현,박시후",롯데쇼핑㈜롯데엔터테인먼트,2014-12-18,한국,188,173948100,24810,애니메이션,전체관람가,독립/예술영화
211,212,2014,거인,김태용,필라멘트픽쳐스,2014-11-13,한국,77,170597400,22541,드라마,12세이상관람가,독립/예술영화
212,213,2014,이브 생 로랑,자릴 레스페르,(주)블룸즈베리파트너스,2014-06-26,프랑스,53,166422300,21280,드라마,청소년관람불가,독립/예술영화
213,214,2014,꼬마영웅 경찰차 프로디2,라스무스 A. 실버르센,예지림엔터테인먼트,2014-03-20,노르웨이,257,166040900,25149,애니메이션,전체관람가,독립/예술영화
214,215,2014,엔들리스 러브,샤나 페스트,유니버설픽쳐스인터내셔널 코리아(유),2014-03-13,미국,210,165237000,22091,드라마,15세이상관람가,일반영화
215,216,2014,디노타샤: 공룡대탐험,"데이빗 크렌츠,에릭 넬슨",(주)영화사 빅,2014-01-29,미국,138,165071000,23530,애니메이션,전체관람가,독립/예술영화
216,217,2014,클라우즈 오브 실스마리아,올리비에 아사야스,(주)나이너스엔터테인먼트,2014-12-18,프랑스,53,162717299,20724,드라마,15세이상관람가,독립/예술영화
217,218,2014,그 사람 그 사랑 그 세상,권혁만,"THE 픽쳐스,(주)팝엔터테인먼트",2014-11-20,한국,55,153085500,20868,다큐멘터리,전체관람가,독립/예술영화
218,219,2014,천하무적 키코리키,데니스 체르노프,와이드 릴리즈(주),2014-07-17,러시아,186,149655900,21889,애니메이션,전체관람가,독립/예술영화
219,220,2014,그랜드 피아노,유지니오 미라,와이드 릴리즈(주),2014-04-17,스페인,95,149337000,20961,스릴러,15세이상관람가,독립/예술영화
220,221,2014,초원의 왕 도제,코지마 마사유키,(주)나이너스엔터테인먼트,2014-03-27,일본,192,148292600,21424,애니메이션,전체관람가,독립/예술영화
221,222,2014,사막에서 연어낚시,라세 할스트롬,"(주)나이너스엔터테인먼트,(유)영화사 화수분",2014-10-16,영국,92,147212500,19423,드라마,12세이상관람가,독립/예술영화
222,223,2014,유고와 라라 : 신비의 숲 어드벤처,왕운비,(주)프레인글로벌,2014-10-02,중국,167,146859000,21053,애니메이션,전체관람가,일반영화
223,224,2014,에코,데이브 그린,"(주)박수엔터테인먼트,(주)필름오마쥬",2014-10-08,미국,154,138735100,19142,SF,전체관람가,독립/예술영화
224,225,2014,혼스,알렉산더 아야,(주)팝엔터테인먼트,2014-11-27,미국,166,137324715,17535,판타지,청소년관람불가,일반영화
225,226,2014,슈퍼처방전,대니 분,(주)영화사 빅,2014-12-10,프랑스,144,136871000,18455,코미디,12세이상관람가,독립/예술영화
